iter	Passed	Remaining
0	2	2373
1	4	2202
2	6	2163
3	8	2181
4	10	2130
5	12	2133
6	14	2115
7	16	2098
8	19	2097
9	20	2069
10	22	2028
11	24	2011
12	26	2005
13	28	1980
14	30	1978
15	32	1969
16	33	1951
17	35	1934
18	37	1929
19	39	1911
20	40	1895
21	42	1888
22	44	1885
23	46	1875
24	48	1878
25	49	1869
26	51	1859
27	53	1869
28	55	1868
29	57	1863
30	59	1862
31	61	1861
32	63	1855
33	64	1841
34	66	1844
35	68	1842
36	70	1839
37	72	1837
38	74	1831
39	75	1821
40	77	1819
41	79	1814
42	81	1814
43	83	1811
44	85	1806
45	86	1803
46	88	1800
47	90	1797
48	92	1792
49	94	1792
50	96	1791
51	97	1785
52	99	1778
53	101	1777
54	103	1773
55	104	1767
56	107	1771
57	108	1768
58	110	1765
59	112	1764
60	114	1761
61	116	1759
62	117	1754
63	120	1755
64	121	1751
65	123	1749
66	125	1748
67	127	1743
68	128	1738
69	130	1737
70	132	1734
71	134	1734
72	136	1732
73	138	1732
74	140	1729
75	141	1725
76	143	1721
77	145	1718
78	147	1716
79	149	1715
80	150	1713
81	152	1708
82	154	1707
83	156	1705
84	158	1703
85	160	1700
86	161	1699
87	162	1687
88	164	1680
89	166	1678
90	167	1675
91	169	1671
92	171	1671
93	173	1670
94	175	1667
95	176	1664
96	178	1663
97	180	1661
98	182	1658
99	184	1659
100	186	1656
101	187	1652
102	189	1651
103	191	1648
104	192	1644
105	194	1643
106	196	1643
107	198	1639
108	200	1639
109	202	1636
110	204	1634
111	205	1631
112	207	1629
113	209	1628
114	211	1624
115	212	1622
116	214	1619
117	216	1616
118	217	1613
119	219	1613
120	221	1612
121	223	1610
122	225	1605
123	226	1602
124	228	1599
125	230	1597
126	232	1596
127	233	1593
128	235	1591
129	237	1590
130	239	1588
131	241	1585
132	242	1583
133	244	1581
134	246	1578
135	248	1577
136	250	1576
137	252	1574
138	253	1573
139	255	1571
140	256	1564
141	258	1562
142	260	1563
143	262	1561
144	264	1559
145	266	1558
146	268	1556
147	269	1554
148	271	1552
149	273	1550
150	275	1548
151	277	1546
152	279	1545
153	280	1542
154	282	1540
155	284	1539
156	286	1538
157	288	1536
158	290	1535
159	292	1533
160	293	1531
161	295	1529
162	297	1527
163	298	1523
164	300	1521
165	302	1520
166	304	1518
167	306	1515
168	307	1514
169	309	1511
170	311	1510
171	313	1508
172	315	1506
173	316	1504
174	318	1502
175	320	1500
176	322	1497
177	324	1496
178	326	1495
179	327	1494
180	329	1491
181	331	1490
182	333	1488
183	335	1485
184	337	1484
185	338	1482
186	340	1479
187	342	1478
188	344	1477
189	345	1474
190	347	1472
191	349	1471
192	351	1470
193	353	1468
194	355	1466
